,masterid,SiteYear,MeanSurvival,CtrlAdjSurvival,csci,ASCI.hybrid,PyrethroidSum,huc,smcshed,smc_lu,latitude,longitude,probabilistic
5344,SMC02494,SMC02494_2014,NA,NA,0.61243387,0.41173123,NA,845,San Gabriel,Urban,33.9132,-117.97397,TRUE
5345,SMC02536,SMC02536_2011,NA,NA,0.60007522,0.75234505,NA,408,Calleguas,Urban,34.26861,-118.6736,TRUE
5346,SMC02563,SMC02563_2010,NA,NA,0.50142866,0.76177495,NA,801,Lower Santa Ana,Urban,33.68193,-117.67293,TRUE
5347,SMC02563,SMC02563_2014,NA,NA,0.48420524,0.68651813,NA,801,Lower Santa Ana,Urban,33.68193,-117.67293,TRUE
5348,SMC02568,SMC02568_2012,NA,NA,0.9163318,0.94346302,NA,412,Los Angeles,Open,34.27866,-118.22031,TRUE
5349,SMC02568,SMC02568_2018,NA,NA,1.08854903,NA,NA,412,Los Angeles,Open,34.27866,-118.22031,TRUE
5350,SMC02591,SMC02591_2011,NA,NA,0.93527696,0.88521091,NA,402,Ventura,Open,34.51783,-119.37846,TRUE
5351,SMC02622,SMC02622_2010,NA,NA,NA,0.68345703,NA,412,Los Angeles,Urban,33.89738,-118.18616,TRUE
5352,SMC02644,SMC02644_2011,NA,NA,0.65735909,0.89360477,NA,408,Calleguas,Urban,34.18157,-118.88652,TRUE
5353,SMC02656,SMC02656_2009,NA,NA,0.6123418,0.54024448,NA,405,San Gabriel,Urban,34.07498,-117.87216,TRUE
5354,SMC02656,SMC02656_2018,NA,NA,0.46469457,0.66151825,NA,405,San Gabriel,Urban,34.07498,-117.87216,TRUE
5355,SMC02680,SMC02680_2014,NA,NA,0.43735801,0.95319773,NA,412,Los Angeles,Urban,34.19531,-118.59356,TRUE
5356,SMC02712,SMC02712_2012,NA,NA,0.98925479,0.6404071,NA,412,Los Angeles,Open,34.36179,-118.30348,TRUE
5357,SMC02718,SMC02718_2014,NA,NA,0.47271099,0.61161331,NA,845,San Gabriel,Urban,33.88936,-117.88771,TRUE
5358,SMC02796,SMC02796_2013,NA,NA,0.28966753,NA,NA,412,Los Angeles,SMC_out,34.08397,-118.08632,TRUE
